Wed 08 Apr 2026, 11:27AM
('Scientist:', '', 'Participant:', '')
################# Phase 1 ######################
################# INIT balls ######################
2.906, 69, Clicked: RED, x=446,  y=315, Clicked: None, x=446, y=315,  Unknown Color: x=448,  y=322,  dx=-0.06779965523534673,  dy=-0.07350650821504258,  clicks=1,  score=1, BLUE: x=626,  y=219,  dx=0.0788748137893102,  dy=0.06147164996729503,  clicks=0,  score=0,
3.12, 70, Clicked: RED, x=446,  y=315, Clicked: None, x=446, y=315,  Unknown Color: x=448,  y=322,  dx=-0.06779965523534673,  dy=-0.07350650821504258,  clicks=2,  score=2, BLUE: x=626,  y=219,  dx=0.0788748137893102,  dy=0.06147164996729503,  clicks=0,  score=0,
3.53, 71, Clicked: RED, x=446,  y=315, Clicked: None, x=446, y=315,  Unknown Color: x=448,  y=322,  dx=-0.06779965523534673,  dy=-0.07350650821504258,  clicks=3,  score=3, BLUE: x=626,  y=220,  dx=0.0788748137893102,  dy=0.06147164996729503,  clicks=0,  score=0,
3.748, 72, Clicked: RED, x=446,  y=315, Clicked: None, x=446, y=315,  Unknown Color: x=448,  y=322,  dx=-0.06779965523534673,  dy=-0.07350650821504258,  clicks=4,  score=4, BLUE: x=626,  y=220,  dx=0.0788748137893102,  dy=0.06147164996729503,  clicks=0,  score=0,
3.929, 73, Clicked: RED, x=446,  y=315, Clicked: None, x=446, y=315,  Unknown Color: x=448,  y=322,  dx=-0.06779965523534673,  dy=-0.07350650821504258,  clicks=5,  score=5, BLUE: x=626,  y=220,  dx=0.0788748137893102,  dy=0.06147164996729503,  clicks=0,  score=0,
4.113, 74, Clicked: RED, x=446,  y=315, Clicked: None, x=446, y=315,  Unknown Color: x=448,  y=322,  dx=-0.06779965523534673,  dy=-0.07350650821504258,  clicks=6,  score=6, BLUE: x=626,  y=220,  dx=0.0788748137893102,  dy=0.06147164996729503,  clicks=0,  score=0,
4.407, 75, Clicked: RED, x=446,  y=315, Clicked: None, x=446, y=315,  Unknown Color: x=448,  y=322,  dx=-0.06779965523534673,  dy=-0.07350650821504258,  clicks=7,  score=7, BLUE: x=626,  y=220,  dx=0.0788748137893102,  dy=0.06147164996729503,  clicks=0,  score=0,
4.689, 76, Clicked: RED, x=446,  y=315, Clicked: None, x=446, y=315,  Unknown Color: x=448,  y=322,  dx=-0.06779965523534673,  dy=-0.07350650821504258,  clicks=8,  score=8, BLUE: x=626,  y=220,  dx=0.0788748137893102,  dy=0.06147164996729503,  clicks=0,  score=0,
4.908, 77, Clicked: RED, x=446,  y=315, Clicked: None, x=446, y=315,  Unknown Color: x=448,  y=322,  dx=-0.06779965523534673,  dy=-0.07350650821504258,  clicks=9,  score=9, BLUE: x=626,  y=220,  dx=0.0788748137893102,  dy=0.06147164996729503,  clicks=0,  score=0,
################# INIT balls ######################
4.246, 78, Clicked: None, x=162, y=490, Clicked: None, x=162, y=490,  RED: x=262,  y=504,  dx=-0.05692285142263938,  dy=-0.08221793591374162,  clicks=0,  score=0, BLUE: x=646,  y=430,  dx=0.026131913477854363,  dy=-0.09652524590999981,  clicks=0,  score=0,
4.663, 78, Clicked: RED, x=241,  y=489, Clicked: None, x=241, y=489,  Unknown Color: x=262,  y=504,  dx=-0.05692285142263938,  dy=-0.08221793591374162,  clicks=1,  score=1, BLUE: x=646,  y=430,  dx=0.026131913477854363,  dy=-0.09652524590999981,  clicks=0,  score=0,
4.846, 79, Clicked: RED, x=241,  y=489, Clicked: None, x=241, y=489,  Unknown Color: x=262,  y=504,  dx=-0.05692285142263938,  dy=-0.08221793591374162,  clicks=2,  score=2, BLUE: x=646,  y=430,  dx=0.026131913477854363,  dy=-0.09652524590999981,  clicks=0,  score=0,
5.013, 80, Clicked: RED, x=241,  y=489, Clicked: None, x=241, y=489,  Unknown Color: x=262,  y=504,  dx=-0.05692285142263938,  dy=-0.08221793591374162,  clicks=3,  score=3, BLUE: x=646,  y=430,  dx=0.026131913477854363,  dy=-0.09652524590999981,  clicks=0,  score=0,
################# INIT balls ######################
0.9, 81, Clicked: RED, x=501,  y=453, Clicked: None, x=501, y=453,  Unknown Color: x=462,  y=451,  dx=0.09897330052839232,  dy=-0.014292857744920597,  clicks=1,  score=1, BLUE: x=739,  y=383,  dx=-0.04721396076475173,  dy=0.08815237891801041,  clicks=0,  score=0,
1.083, 82, Clicked: RED, x=501,  y=453, Clicked: None, x=501, y=453,  Unknown Color: x=462,  y=451,  dx=0.09897330052839232,  dy=-0.014292857744920597,  clicks=2,  score=2, BLUE: x=739,  y=383,  dx=-0.04721396076475173,  dy=0.08815237891801041,  clicks=0,  score=0,
